Date / Time,Home team,,,,Away team,Location,Status
362 - 9:00 PM,Kitty Slayers,,,,Blood Sweat & Beers,EHLKIT,Incomplete
363 - 9:00 PM,Hope Skate Park,,,,Montrescotia Buffaloes,EHLHSP,Incomplete
364 - 9:00 PM,Stratton Oakmont,,,,Greensboro Hurricanes,EHLSTO,Incomplete
365 - 9:00 PM,Canadian Frostbytes,,,,High Quality Plague,EHLEFB,Incomplete
366 - 9:00 PM,Cooper Gang HC,,,,Tombstone,EHLCGH,Incomplete
367 - 9:00 PM,Reverse HC,,,,Sabres On Ice,EHLRHC,Incomplete
368 - 9:00 PM,Royal deltz,,,,Pioneers,EHLRYD,Incomplete
369 - 9:00 PM,MN BLUES,,,,Cape Cod Rangers,EHLMNB,Incomplete
370 - 9:00 PM,Pouch munchers,,,,Puckin Around,EHLMUN,Incomplete
371 - 9:35 PM,Minnesota Wild,,,,Kitty Slayers,EHLMIN,Incomplete
372 - 9:35 PM,Hope Skate Park,,,,Steel City Legion,EHLHSP,Incomplete
373 - 9:35 PM,Stratton Oakmont,,,,Blood Sweat & Beers,EHLSTO,Incomplete
374 - 9:35 PM,High Quality Plague,,,,Montrescotia Buffaloes,EHLWSS,Incomplete
375 - 9:35 PM,Tombstone,,,,Greensboro Hurricanes,EHLTBS,Incomplete
376 - 9:35 PM,Reverse HC,,,,Canadian Frostbytes,EHLRHC,Incomplete
377 - 9:35 PM,Royal deltz,,,,Cooper Gang HC,EHLRYD,Incomplete
378 - 9:35 PM,MN BLUES,,,,Sabres On Ice,EHLMNB,Incomplete
379 - 9:35 PM,Pouch munchers,,,,Pioneers,EHLMUN,Incomplete
380 - 9:35 PM,Puckin Around,,,,Cape Cod Rangers,EHLPKA,Incomplete
381 - 10:10 PM,Minnesota Wild,,,,Hope Skate Park,EHLMIN,Incomplete
382 - 10:10 PM,Kitty Slayers,,,,Stratton Oakmont,EHLKIT,Incomplete
383 - 10:10 PM,Steel City Legion,,,,High Quality Plague,EHLSCL,Incomplete
384 - 10:10 PM,Blood Sweat & Beers,,,,Tombstone,EHLBSB,Incomplete
